soe,date,arrivals,arrivals_male,arrivals_female
Kedah,2021-05-01,18426,18383,43
Kelantan,2021-05-01,1,1,0
Melaka,2021-05-01,0,0,0
Negeri Sembilan,2021-05-01,0,0,0
Pahang,2021-05-01,3,3,0
Perak,2021-05-01,9,2,7
Perlis,2021-05-01,8617,8382,235
Pulau Pinang,2021-05-01,134,90,44
Sabah,2021-05-01,12,6,6
Sarawak,2021-05-01,899,878,21
Selangor,2021-05-01,6865,5134,1731
Terengganu,2021-05-01,4,4,0
W.P. Labuan,2021-05-01,15,14,1
Johor,2021-06-01,134,114,20
Kedah,2021-06-01,16891,16846,45
Kelantan,2021-06-01,1,0,1
Melaka,2021-06-01,0,0,0
Negeri Sembilan,2021-06-01,0,0,0
Pahang,2021-06-01,0,0,0
Perak,2021-06-01,1,1,0
Perlis,2021-06-01,7248,7164,84
Pulau Pinang,2021-06-01,347,323,24
Sabah,2021-06-01,4,2,2
Sarawak,2021-06-01,811,788,23
Selangor,2021-06-01,4170,3174,996
Terengganu,2021-06-01,0,0,0
W.P. Labuan,2021-06-01,0,0,0
Johor,2021-07-01,197,163,34
Kedah,2021-07-01,17481,17441,40
Kelantan,2021-07-01,3,1,2
Melaka,2021-07-01,2,1,1
Negeri Sembilan,2021-07-01,0,0,0
Pahang,2021-07-01,0,0,0
Perak,2021-07-01,1,0,1
Perlis,2021-07-01,6961,6879,82
Pulau Pinang,2021-07-01,162,93,69
Sabah,2021-07-01,5,5,0
Sarawak,2021-07-01,976,953,23
Selangor,2021-07-01,5528,3946,1582
Terengganu,2021-07-01,0,0,0
W.P. Labuan,2021-07-01,15,15,0
Johor,2021-08-01,185,154,31
Kedah,2021-08-01,16343,16303,40
Kelantan,2021-08-01,0,0,0
Melaka,2021-08-01,0,0,0
Negeri Sembilan,2021-08-01,0,0,0
Pahang,2021-08-01,0,0,0
Perak,2021-08-01,3,1,2
Perlis,2021-08-01,7382,7321,61
Pulau Pinang,2021-08-01,257,194,63
Sabah,2021-08-01,7,5,2
Sarawak,2021-08-01,702,682,20
Selangor,2021-08-01,6770,4677,2093
Terengganu,2021-08-01,0,0,0
W.P. Labuan,2021-08-01,9,9,0
Johor,2021-09-01,206,171,35
Kedah,2021-09-01,18833,18787,46
Kelantan,2021-09-01,6,4,2
Melaka,2021-09-01,0,0,0
Negeri Sembilan,2021-09-01,0,0,0
Pahang,2021-09-01,0,0,0
Perak,2021-09-01,2,0,2
Perlis,2021-09-01,7743,7662,81
Pulau Pinang,2021-09-01,267,197,70
Sabah,2021-09-01,2,1,1
Sarawak,2021-09-01,674,652,22
Selangor,2021-09-01,7276,5165,2111
Terengganu,2021-09-01,1,1,0
W.P. Labuan,2021-09-01,7,7,0
Johor,2021-10-01,306,255,51
Kedah,2021-10-01,19383,19342,41
Kelantan,2021-10-01,0,0,0
Melaka,2021-10-01,0,0,0
Negeri Sembilan,2021-10-01,0,0,0
Pahang,2021-10-01,0,0,0
Perak,2021-10-01,7,2,5
Perlis,2021-10-01,7956,7845,111
Pulau Pinang,2021-10-01,282,170,112
Sabah,2021-10-01,10,7,3
Sarawak,2021-10-01,570,546,24
Selangor,2021-10-01,10050,6806,3244
Terengganu,2021-10-01,0,0,0
W.P. Labuan,2021-10-01,0,0,0
Johor,2021-11-01,620,448,172
Kedah,2021-11-01,18318,18257,61
Kelantan,2021-11-01,4,0,4
Melaka,2021-11-01,3,3,0
Negeri Sembilan,2021-11-01,0,0,0
Pahang,2021-11-01,0,0,0
Perak,2021-11-01,5,3,2
Perlis,2021-11-01,7404,7291,113
Pulau Pinang,2021-11-01,366,235,131
Sabah,2021-11-01,35,19,16
Sarawak,2021-11-01,811,764,47
Selangor,2021-11-01,14754,10506,4248
Terengganu,2021-11-01,0,0,0
W.P. Labuan,2021-11-01,3,3,0
Johor,2021-12-01,3185,1785,1400
Kedah,2021-12-01,18257,18143,114
Kelantan,2021-12-01,0,0,0
Melaka,2021-12-01,0,0,0
Negeri Sembilan,2021-12-01,0,0,0
Pahang,2021-12-01,0,0,0
Perak,2021-12-01,12,7,5
Perlis,2021-12-01,9208,9061,147
Pulau Pinang,2021-12-01,366,239,127
Sabah,2021-12-01,28,13,15
Sarawak,2021-12-01,694,627,67
Selangor,2021-12-01,45375,30454,14921
Terengganu,2021-12-01,0,0,0
W.P. Labuan,2021-12-01,10,10,0
Johor,2022-01-01,4815,2632,2183
Kedah,2022-01-01,18605,18428,177
Kelantan,2022-01-01,4,1,3
Melaka,2022-01-01,0,0,0
Negeri Sembilan,2022-01-01,0,0,0
Pahang,2022-01-01,0,0,0
Perak,2022-01-01,13,5,8
Perlis,2022-01-01,9168,9012,156
Pulau Pinang,2022-01-01,266,167,99
Sabah,2022-01-01,40,19,21
Sarawak,2022-01-01,1008,913,95
Selangor,2022-01-01,42628,28890,13738
Terengganu,2022-01-01,0,0,0
W.P. Labuan,2022-01-01,12,12,0
Johor,2022-02-01,3236,1876,1360
Kedah,2022-02-01,16919,16704,215
Kelantan,2022-02-01,15,6,9
Melaka,2022-02-01,0,0,0
Negeri Sembilan,2022-02-01,0,0,0
Pahang,2022-02-01,0,0,0
Perak,2022-02-01,13,3,10
Perlis,2022-02-01,8533,8416,117
Pulau Pinang,2022-02-01,471,387,84
Sabah,2022-02-01,18,10,8
Sarawak,2022-02-01,778,707,71
Selangor,2022-02-01,38753,27675,11078
Terengganu,2022-02-01,0,0,0
W.P. Labuan,2022-02-01,17,17,0
Johor,2022-03-01,8338,4931,3407
Kedah,2022-03-01,20277,19980,297
Kelantan,2022-03-01,14,13,1
Melaka,2022-03-01,13,0,13
Negeri Sembilan,2022-03-01,0,0,0
Pahang,2022-03-01,0,0,0
Perak,2022-03-01,8,6,2
Perlis,2022-03-01,10164,10007,157
Pulau Pinang,2022-03-01,1619,935,684
Sabah,2022-03-01,30,15,15
Sarawak,2022-03-01,950,880,70
Selangor,2022-03-01,51030,35766,15264
Terengganu,2022-03-01,0,0,0
W.P. Labuan,2022-03-01,12,12,0
Johor,2022-04-01,435671,268606,167065
Kedah,2022-04-01,21177,18506,2671
Kelantan,2022-04-01,8,7,1
Melaka,2022-04-01,16,10,6
Negeri Sembilan,2022-04-01,6,5,1
Pahang,2022-04-01,41,31,10
Perak,2022-04-01,1241,585,656
Perlis,2022-04-01,10089,9814,275
Pulau Pinang,2022-04-01,10484,5565,4919
Sabah,2022-04-01,1733,941,792
Sarawak,2022-04-01,3082,2160,922
Selangor,2022-04-01,121109,76340,44769
Terengganu,2022-04-01,2,2,0
W.P. Labuan,2022-04-01,31,22,9
Johor,2022-05-01,709855,431647,278208
Kedah,2022-05-01,31734,22805,8929
Kelantan,2022-05-01,3846,1929,1917
Melaka,2022-05-01,2979,1356,1623
Negeri Sembilan,2022-05-01,2778,1806,972
Pahang,2022-05-01,92,72,20
Perak,2022-05-01,2943,1275,1668
Perlis,2022-05-01,25309,17785,7524
Pulau Pinang,2022-05-01,24031,11961,12070
Sabah,2022-05-01,5174,2686,2488
Sarawak,2022-05-01,16045,10649,5396
Selangor,2022-05-01,212367,129850,82517
Terengganu,2022-05-01,0,0,0
W.P. Labuan,2022-05-01,28,21,7
Johor,2022-06-01,943173,546327,396846
Kedah,2022-06-01,43811,28242,15569
Kelantan,2022-06-01,8887,3963,4924
Melaka,2022-06-01,5730,2585,3145
Negeri Sembilan,2022-06-01,5760,4021,1739
Pahang,2022-06-01,53,43,10
Perak,2022-06-01,7696,3642,4054
Perlis,2022-06-01,41620,26753,14867
Pulau Pinang,2022-06-01,38589,18547,20042
Sabah,2022-06-01,10590,5082,5508
Sarawak,2022-06-01,29014,17923,11091
Selangor,2022-06-01,254120,156399,97721
Terengganu,2022-06-01,7,7,0
W.P. Labuan,2022-06-01,42,25,17
Johor,2022-07-01,1125995,655916,470079
Kedah,2022-07-01,53769,31280,22489
Kelantan,2022-07-01,16009,7651,8358
Melaka,2022-07-01,6265,2683,3582
Negeri Sembilan,2022-07-01,6090,4057,2033
Pahang,2022-07-01,85,67,18
Perak,2022-07-01,10885,5257,5628
Perlis,2022-07-01,50675,31822,18853
Pulau Pinang,2022-07-01,43801,20401,23400
Sabah,2022-07-01,19694,9315,10379
Sarawak,2022-07-01,35179,20376,14803
Selangor,2022-07-01,331379,197924,133455
Terengganu,2022-07-01,0,0,0
W.P. Labuan,2022-07-01,64,36,28
Johor,2022-08-01,1122353,654584,467769
Kedah,2022-08-01,49025,31879,17146
Kelantan,2022-08-01,29539,14719,14820
Melaka,2022-08-01,6512,2778,3734
Negeri Sembilan,2022-08-01,7508,5244,2264
Pahang,2022-08-01,190,141,49
Perak,2022-08-01,12303,5908,6395
Perlis,2022-08-01,65702,39807,25895
Pulau Pinang,2022-08-01,45781,21281,24500
Sabah,2022-08-01,19225,9137,10088
Sarawak,2022-08-01,63655,35833,27822
Selangor,2022-08-01,385927,238039,147888
Terengganu,2022-08-01,0,0,0
W.P. Labuan,2022-08-01,653,401,252
Johor,2022-09-01,1202442,680944,521498
Kedah,2022-09-01,53695,30908,22787
Kelantan,2022-09-01,30029,15427,14602
Melaka,2022-09-01,7883,3526,4357
Negeri Sembilan,2022-09-01,6848,4706,2142
Pahang,2022-09-01,230,162,68
Perak,2022-09-01,9785,5006,4779
Perlis,2022-09-01,48378,29251,19127
Pulau Pinang,2022-09-01,49737,22618,27119
Sabah,2022-09-01,17259,8460,8799
Sarawak,2022-09-01,90338,49614,40724
Selangor,2022-09-01,382603,243982,138621
Terengganu,2022-09-01,16,13,3
W.P. Labuan,2022-09-01,940,641,299
Johor,2022-10-01,1208015,684451,523564
Kedah,2022-10-01,76669,42765,33904
Kelantan,2022-10-01,38130,19621,18509
Melaka,2022-10-01,6778,3113,3665
Negeri Sembilan,2022-10-01,7422,5074,2348
Pahang,2022-10-01,132,94,38
Perak,2022-10-01,14232,6674,7558
Perlis,2022-10-01,58279,34034,24245
Pulau Pinang,2022-10-01,55019,25274,29745
Sabah,2022-10-01,17484,8372,9112
Sarawak,2022-10-01,95953,53122,42831
Selangor,2022-10-01,443226,273074,170152
Terengganu,2022-10-01,4,2,2
W.P. Labuan,2022-10-01,1026,735,291
Johor,2022-11-01,1214628,685950,528678
Kedah,2022-11-01,74452,43350,31102
Kelantan,2022-11-01,33210,17724,15486
Melaka,2022-11-01,5202,2374,2828
Negeri Sembilan,2022-11-01,6805,4590,2215
Pahang,2022-11-01,59,36,23
Perak,2022-11-01,15485,7371,8114
Perlis,2022-11-01,55300,34064,21236
Pulau Pinang,2022-11-01,54970,25382,29588
Sabah,2022-11-01,21324,10170,11154
Sarawak,2022-11-01,98435,53936,44499
Selangor,2022-11-01,467311,291966,175345
Terengganu,2022-11-01,4,4,0
W.P. Labuan,2022-11-01,1234,848,386
Johor,2022-12-01,1395639,749842,645797
Kedah,2022-12-01,76994,42791,34203
Kelantan,2022-12-01,26458,13404,13054
Melaka,2022-12-01,8007,3550,4457
Negeri Sembilan,2022-12-01,7009,4512,2497
Pahang,2022-12-01,721,355,366
Perak,2022-12-01,18264,8737,9527
Perlis,2022-12-01,54034,32716,21318
Pulau Pinang,2022-12-01,65816,30457,35359
Sabah,2022-12-01,29583,13640,15943
Sarawak,2022-12-01,193715,99084,94631
Selangor,2022-12-01,521992,306365,215627
Terengganu,2022-12-01,0,0,0
W.P. Labuan,2022-12-01,2316,1381,935
Johor,2023-01-01,1234076,693195,540881
Kedah,2023-01-01,85209,47879,37330
Kelantan,2023-01-01,49955,26718,23237
Melaka,2023-01-01,5387,2439,2948
Negeri Sembilan,2023-01-01,8081,5576,2505
Pahang,2023-01-01,502,270,232
Perak,2023-01-01,15179,7281,7898
Perlis,2023-01-01,59072,36310,22762
Pulau Pinang,2023-01-01,68457,30865,37592
Sabah,2023-01-01,37889,17466,20423
Sarawak,2023-01-01,140685,76058,64627
Selangor,2023-01-01,528858,309683,219175
Terengganu,2023-01-01,0,0,0
W.P. Labuan,2023-01-01,1622,1113,509
Johor,2023-02-01,1096031,629023,467008
Kedah,2023-02-01,82858,46952,35906
Kelantan,2023-02-01,51162,27656,23506
Melaka,2023-02-01,5254,2330,2924
Negeri Sembilan,2023-02-01,9828,6595,3233
Pahang,2023-02-01,220,122,98
Perak,2023-02-01,15986,7728,8258
Perlis,2023-02-01,56894,34793,22101
Pulau Pinang,2023-02-01,65039,30647,34392
Sabah,2023-02-01,33907,15549,18358
Sarawak,2023-02-01,132326,72075,60251
Selangor,2023-02-01,495852,313058,182794
Terengganu,2023-02-01,3,3,0
W.P. Labuan,2023-02-01,1946,1277,669
Johor,2023-03-01,1301585,727417,574168
Kedah,2023-03-01,100620,56619,44001
Kelantan,2023-03-01,58591,29810,28781
Melaka,2023-03-01,4596,2112,2484
Negeri Sembilan,2023-03-01,8450,5520,2930
Pahang,2023-03-01,261,145,116
Perak,2023-03-01,21201,10068,11133
Perlis,2023-03-01,69607,42179,27428
Pulau Pinang,2023-03-01,74385,35487,38898
Sabah,2023-03-01,37411,17004,20407
Sarawak,2023-03-01,141193,77147,64046
Selangor,2023-03-01,568760,351170,217590
Terengganu,2023-03-01,18,18,0
W.P. Labuan,2023-03-01,1425,978,447
Johor,2023-04-01,1227351,682404,544947
Kedah,2023-04-01,85744,45197,40547
Kelantan,2023-04-01,46894,23322,23572
Melaka,2023-04-01,5639,2551,3088
Negeri Sembilan,2023-04-01,4340,2174,2166
Pahang,2023-04-01,838,448,390
Perak,2023-04-01,19131,8797,10334
Perlis,2023-04-01,54352,31556,22796
Pulau Pinang,2023-04-01,76242,35061,41181
Sabah,2023-04-01,36694,17302,19392
Sarawak,2023-04-01,173088,90593,82495
Selangor,2023-04-01,549762,318485,231277
Terengganu,2023-04-01,1,1,0
W.P. Labuan,2023-04-01,2291,1383,908
Johor,2023-05-01,1298501,738863,559638
Kedah,2023-05-01,91007,49427,41580
Kelantan,2023-05-01,52302,27611,24691
Melaka,2023-05-01,5255,2309,2946
Negeri Sembilan,2023-05-01,14303,10163,4140
Pahang,2023-05-01,804,466,338
Perak,2023-05-01,20150,9570,10580
Perlis,2023-05-01,62963,37883,25080
Pulau Pinang,2023-05-01,82247,39064,43183
Sabah,2023-05-01,41970,19557,22413
Sarawak,2023-05-01,147533,84447,63086
Selangor,2023-05-01,597519,355223,242296
Terengganu,2023-05-01,1,1,0
W.P. Labuan,2023-05-01,1741,1110,631
Johor,2023-06-01,1510345,820088,690257
Kedah,2023-06-01,77066,41554,35512
Kelantan,2023-06-01,36763,19306,17457
Melaka,2023-06-01,5218,2463,2755
Negeri Sembilan,2023-06-01,5034,3303,1731
Pahang,2023-06-01,998,523,475
Perak,2023-06-01,18571,8623,9948
Perlis,2023-06-01,46491,26832,19659
Pulau Pinang,2023-06-01,102625,47470,55155
Sabah,2023-06-01,25499,12113,13386
Sarawak,2023-06-01,120392,64628,55764
Selangor,2023-06-01,449001,270555,178446
Terengganu,2023-06-01,3,3,0
W.P. Labuan,2023-06-01,1587,1042,545
Johor,2023-07-01,1545948,850439,695509
Kedah,2023-07-01,85599,46887,38712
Kelantan,2023-07-01,50017,26773,23244
Melaka,2023-07-01,5261,2352,2909
Negeri Sembilan,2023-07-01,6499,4501,1998
Pahang,2023-07-01,716,396,320
Perak,2023-07-01,21446,9793,11653
Perlis,2023-07-01,65446,38392,27054
Pulau Pinang,2023-07-01,96735,44357,52378
Sabah,2023-07-01,31337,14535,16802
Sarawak,2023-07-01,128541,68707,59834
Selangor,2023-07-01,790911,442236,348675
Terengganu,2023-07-01,1,1,0
W.P. Labuan,2023-07-01,1360,934,426
Johor,2023-08-01,1510486,844529,665957
Kedah,2023-08-01,76758,42486,34272
Kelantan,2023-08-01,35798,19658,16140
Melaka,2023-08-01,3466,1678,1788
Negeri Sembilan,2023-08-01,7275,4710,2565
Pahang,2023-08-01,752,428,324
Perak,2023-08-01,19302,9118,10184
Perlis,2023-08-01,48127,27786,20341
Pulau Pinang,2023-08-01,91936,43292,48644
Sabah,2023-08-01,9825,4896,4929
